Baby Come Back	Player
How Deep Is Your Love	Bee Gees
Here You Come Again	Dolly Parton
You're In My Heart (The Final Acclaim)	Rod Stewart
(Every Time I Turn Around) Back In Love Again	LTD
Slip Slidin' Away	Paul Simon
Hey Deanie	Shaun Cassidy
Sentimental Lady	Bob Welch
Come Sail Away	Styx
We Are The Champions	Queen
You Light Up My Life	Debby Boone
You Can't Turn Me Off (In The Middle Of Turning Me On)	High Inergy
Blue Bayou	Linda Ronstadt
Runaround Sue	Leif Garrett
Short People	Randy Newman
Just The Way You Are	Billy Joel
Stayin' Alive	Bee Gees
Turn To Stone	Electric Light Orchestra
Serpentine Fire	Earth, Wind & Fire
(Love Is) Thicker Than Water	Andy Gibb
I Go Crazy	Paul Davis
Sometimes When We Touch	Dan Hill
Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)	Chic
The Way I Feel Tonight	Bay City Rollers
Don't It Make My Brown Eyes Blue	Crystal Gayle
Desiree	Neil Diamond
Gettin' Ready For Love	Diana Ross
Don't Let Me Be Misunderstood	Santa Esmeralda Starring Leroy Gomez
Point Of Know Return	Kansas
It's So Easy	Linda Ronstadt
Emotion	Samantha Sang
Native New Yorker	Odyssey
Girls' School	Wings
What's Your Name	Lynyrd Skynyrd
My Way	Elvis Presley
Peg	Steely Dan
Long, Long Way From Home	Foreigner
As	Stevie Wonder
(You're My) Soul And Inspiration	Donny & Marie Osmond
Too Hot Ta Trot	Commodores
Tried To Love	Peter Frampton
Lovely Day	Bill Withers
If You're Not Back In Love By Monday	Millie Jackson
How Can I Leave You Again	John Denver
Ffun	ConFunkShun
Easy To Love	Leo Sayer
Street Corner Serenade	Wet Willie
Theme From "Close Encounters Of The Third Kind"	John Williams
The Next Hundred Years	Al Martino
Theme From Close Encounters	Meco
Sweet Music Man	Kenny Rogers
I Love You	Donna Summer
Happy Anniversary	Little River Band
Thunder Island	Jay Ferguson
Breakdown	Tom Petty And The Heartbreakers
Falling	LeBlanc & Carr
The Name Of The Game	ABBA
Isn't It Time	The Babys
Always And Forever	Heatwave
We're All Alone	Rita Coolidge
Lay Down Sally	Eric Clapton
Curious Mind (Um, Um, Um, Um, Um, Um)	Johnny Rivers
God Only Knows	Marilyn Scott
Mind Bender	Stillwater
You Make Me Crazy	Sammy Hagar
Swingtown	The Steve Miller Band
Reach For It	George Duke
Rockaway Beach	Ramones
Galaxy	War
Was Dog A Doughnut	Cat Stevens
Crazy On You	Heart
Cocomotion	El Coco
Jack And Jill	Raydio
Bloat On Featuring the Bloaters	Cheech & Chong
Goodbye Girl	David Gates
Wrap Your Arms Around Me	KC And The Sunshine Band
You Make Loving Fun	Fleetwood Mac
Ooh Boy	Rose Royce
Take Me To The Kaptin	Prism
What A Difference You've Made In My Life	Ronnie Milsap
If It Don't Fit, Don't Force It	Kellee Patterson
Le Spank	Le Pamplemousse
So Long	Firefall
The Way You Do The Things You Do	Rita Coolidge
Baby, What A Big Surprise	Chicago
Heaven On The 7th Floor	Paul Nicholas
Belle	Al Green
Our Love	Natalie Cole
The Loneliest Man On The Moon	David Castle
What's Your Name, What's Your Number	Andrea True Connection
Until Now	Bobby Arvon
Come Go With Me	Pockets
Storybook Children (Daybreak)	Bette Midler
Your Smiling Face	James Taylor
Love Me Right	Denise LaSalle
Boogie Nights	Heatwave
1,000 Laughs	Eloise Laws
Any Way You Want Me	The Sylvers
Don't Ask My Neighbors	The Emotions
It's Ecstasy When You Lay Down Next To Me	Barry White
