Heart Of Glass	Blondie
Reunited	Peaches & Herb
Knock On Wood	Amii Stewart
Music Box Dancer	Frank Mills
I Will Survive	Gloria Gaynor
Stumblin' In	Suzi Quatro & Chris Norman
What A Fool Believes	The Doobie Brothers
I Want Your Love	Chic
Goodnight Tonight	Wings
In The Navy	Village People
He's The Greatest Dancer	Sister Sledge
Take Me Home	Cher
Tragedy	Bee Gees
Shake Your Body (Down To The Ground)	The Jacksons
Sultans Of Swing	Dire Straits
Love Is The Answer	England Dan & John Ford Coley
Blow Away	George Harrison
Love Ballad	George Benson
Precious Love	Bob Welch
Love Takes Time	Orleans
I Got My Mind Made Up (You Can Get It Girl)	Instant Funk
Livin' It Up (Friday Night)	Bell & James
Love You Inside Out	Bee Gees
Disco Nights (Rock-Freak)	G.Q.
Renegade	Styx
Lady	Little River Band
Rock 'n' Roll Fantasy	Bad Company
Just When I Needed You Most	Randy VanWarmer
Hot Stuff	Donna Summer
Crazy Love	The Allman Brothers Band
Happiness	The Pointer Sisters
Roxanne	The Police
I Just Fall In Love Again	Anne Murray
Roller	April Wine
Hot Number	Foxy
The Logical Song	Supertramp
Sweet Lui-Louise	Ironhorse
Such A Woman	Tycoon
Don't You Write Her Off	McGuinn, Clark & Hillman
Get Used To It	Roger Voudouris
Old Time Rock & Roll	Bob Seger & The Silver Bullet Band
I (Who Have Nothing)	Sylvester
Good Times Roll	The Cars
(If Loving You Is Wrong) I Don't Want To Be Right	Barbara Mandrell
Deeper Than The Night	Olivia Newton-John
Feelin' Satisfied	Boston
Superman	Herbie Mann
Dancer	Gino Soccio
I Need Your Help Barry Manilow	Ray Stevens
Da Ya Think I'm Sexy?	Rod Stewart
It Must Be Love	Alton McClain & Destiny
Saturday Night, Sunday Morning	Thelma Houston
Rhumba Girl	Nicolette Larson
Little Bit Of Soap	Nigel Olsson
Diamonds	Chris Rea
Makin' It	David Naughton
Honesty	Billy Joel
I Don't Want Nobody Else (To Dance With You)	Narada Michael Walden
Ain't Love A Bitch	Rod Stewart
Shake Your Groove Thing	Peaches & Herb
She Believes In Me	Kenny Rogers
Just The Same Way	Journey
We Are Family	Sister Sledge
Heaven Knows	Donna Summer With Brooklyn Dreams
Chuck E.'s In Love	Rickie Lee Jones
(Sittin' On) The Dock Of The Bay	Sammy Hagar
Give Me An Inch	Ian Matthews
Dance The Night Away	Van Halen
Love Is Gonna Come At Last	Badfinger
Star Love	Cheryl Lynn
Dancin' Fool	Frank Zappa
High On Your Love Suite	Rick James
Gone Long Gone	Chicago
One Chain (Don't Make No Prison)	Santana
When You're In Love With A Beautiful Woman	Dr. Hook
Good Timin'	The Beach Boys
You Take My Breath Away	Rex Smith
I Want You To Want Me	Cheap Trick
Georgy Porgy	Toto
Ain't No Stoppin' Us Now	McFadden & Whitehead
Boogie Woogie Dancin' Shoes	Claudja Barry
Touch Me Baby	Ultimate
One More Minute	Saint Tropez
I Never Said I Love You	Orsa Lia
(Wish I Could Fly Like) Superman	The Kinks
You Can't Change That	Raydio
Easy To Be Hard	Cheryl Barnes/Hair Soundtrack
How Could This Go Wrong	Exile
Dance Away	Roxy Music
Can't Sleep	Rockets
Mirror Star	Fabulous Poodles
Walk On By	AWB
What You Won't Do For Love	Bobby Caldwell
Bang A Gong	Witch Queen
My Baby's Baby	Liquid Gold
My Love Is Music	Space
I Need You	Euclid Beach Band
There But For The Grace Of God Go I	Machine
Heart To Heart	Errol Sober
Bridge Over Troubled Water	Linda Clifford
