Happy	Pharrell Williams
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
All Of Me	John Legend
Pompeii	Bastille
Team	Lorde
Drunk In Love	Beyonce Featuring Jay Z
Counting Stars	OneRepublic
Say Something	A Great Big World & Christina Aguilera
Timber	Pitbull Featuring Ke$ha
Let Her Go	Passenger
Story Of My Life	One Direction
The Man	Aloe Blacc
Show Me	Kid Ink Featuring Chris Brown
The Monster	Eminem Featuring Rihanna
Burn	Ellie Goulding
Let It Go	Idina Menzel
Royals	Lorde
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Demons	Imagine Dragons
Best Day Of My Life	American Authors
Wake Me Up!	Avicii
Partition	Beyonce
Roar	Katy Perry
Hey Brother	Avicii
Can't Remember To Forget You	Shakira Featuring Rihanna
Radioactive	Imagine Dragons
Turn Down For What	DJ Snake & Lil Jon
Paranoid	Ty Dolla $ign Featuring B.o.B
Adore You	Miley Cyrus
Animals	Martin Garrix
Bottoms Up	Brantley Gilbert
Young Girls	Bruno Mars
Love Me Again	John Newman
Wrecking Ball	Miley Cyrus
Brave	Sara Bareilles
Hold On, We're Going Home	Drake Featuring Majid Jordan
When She Says Baby	Jason Aldean
Blurred Lines	Robin Thicke Featuring T.I. + Pharrell
I Hold On	Dierks Bentley
Sail	AWOLNATION
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Chillin' It	Cole Swindell
Drink A Beer	Luke Bryan
Doin' What She Likes	Blake Shelton
Neon Lights	Demi Lovato
Compass	Lady Antebellum
Na Na	Trey Songz
Cop Car	Keith Urban
Give Me Back My Hometown	Eric Church
Human	Christina Perri
See You Tonight	Scotty McCreery
Drink To That All Night	Jerrod Niemann
Helluva Life	Frankie Ballard
#SELFIE	The Chainsmokers
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Take Me Home	Cash Cash Featuring Bebe Rexha
Stoner	Young Thug
Rewind	Rascal Flatts
19 You + Me	Dan + Shay
Let It Go	Demi Lovato
Man Of The Year	ScHoolboy Q
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Get Me Some Of That	Thomas Rhett
Not A Bad Thing	Justin Timberlake
The Worst	Jhene Aiko
Rap God	Eminem
Glory And Gore	Lorde
Goodnight Kiss	Randy Houser
Do I Wanna Know?	Arctic Monkeys
Everything I Shouldn't Be Thinking About	Thompson Square
Odio	Romeo Santos Featuring Drake
They Don't Know	Rico Love
Love Don't Die	The Fray
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Ride	SoMo
The Language	Drake
Stay	Florida Georgia Line
On Top Of The World	Imagine Dragons
Beat Of The Music	Brett Eldredge
Everything Is AWESOME!!!	Tegan And Sara Featuring The Lonely Island
Unconditionally	Katy Perry
Oceans (Where Feet May Fail)	Hillsong UNITED
Chocolate	The 1975
La La La	Naughty Boy Featuring Sam Smith
The Heart Of Dixie	Danielle Bradbery
For The First Time In Forever	Kristen Bell & Idina Menzel
Friday Night	Eric Paslay
Wild Wild Love	Pitbull Featuring G.R.L.
Waiting For Superman	Daughtry
Classic	MKTO
Part II (On The Run)	Jay Z Featuring Beyonce
The Walker	Fitz And The Tantrums
Collard Greens	ScHoolboy Q Featuring Kendrick Lamar
Do What U Want	Lady Gaga Featuring R. Kelly
Ain't It Fun	Paramore
Automatic	Miranda Lambert
Can't Raise A Man	K. Michelle
Lettin' The Night Roll	Justin Moore
Sleeping With A Friend	Neon Trees
