Waterfalls	TLC
Kiss From A Rose	Seal
Boombastic/In The Summertime	Shaggy
One More Chance/Stay With Me	The Notorious B.I.G.
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
I Can Love You Like That	All-4-One
Don't Take It Personal (Just One Of Dem Days)	Monica
Run-Around	Blues Traveler
He's Mine	MoKenStef
Water Runs Dry	Boyz II Men
Someone To Love	Jon B. Featuring Babyface
I Got 5 On It	Luniz
Player's Anthem	Junior M.A.F.I.A.
I Wish	Skee-Lo
Only Wanna Be With You	Hootie & The Blowfish
Freek'n You	Jodeci
Total Eclipse Of The Heart	Nicki French
Let Her Cry	Hootie & The Blowfish
Come And Get Your Love	Real McCoy
This Ain't A Love Song	Bon Jovi
Shy Guy (From "Bad Boys")	Diana King
Feel Me Flow	Naughty By Nature
Every Little Thing I Do	Soul For Real
You Used To Love Me	Faith Evans
Have You Ever Really Loved A Woman?	Bryan Adams
December	Collective Soul
Brown Sugar	D'Angelo
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Somethin' 4 Da Honeyz	Montell Jordan
Hold Me, Thrill Me, Kiss Me, Kill Me	U2
Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain
I Know	Dionne Farris
As I Lay Me Down	Sophie B. Hawkins
Freak Like Me	Adina Howard
Misery	Soul Asylum
Sugar Hill	AZ
I Believe	Blessid Union Of Souls
Feels So Good	Xscape
Good	Better Than Ezra
This Is How We Do It	Montell Jordan
'Til You Do Me Right	After 7
Can't Cry Anymore	Sheryl Crow
Roll To Me	Del Amitri
Scream/Childhood	Michael Jackson & Janet Jackson
Best Friend	Brandy
Carnival	Natalie Merchant
I'll Be There For You/You're All I Need To Get By	Method Man Featuring Mary J. Blige
Human Nature	Madonna
Somebody's Crying	Chris Isaak
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
I Wanna B With U	Fun Factory
Made In England	Elton John
So Many Tears	2Pac
I Can't Tell You Why	Brownstone
Molly (Sixteen Candles)	Sponge
Back For Good	Take That
Can't You See (From "New Jersey Drive")	Total Featuring The Notorious B.I.G.
Sprinkle Me	E-40 (Featuring Suga T)
Let Me Be The One	Blessid Union Of Souls
Pull Up To The Bumper	Patra
I Like	Kut Klose
My Love Is For Real	Paula Abdul
Crazy Love (From "Jason's Lyric")	Brian McKnight
Sick Of Myself	Matthew Sweet
Glaciers Of Ice/Criminology	Chef Raekwon
I Love You/You Bring Me Joy	Mary J. Blige
You Have The Right To Remain Silent	Perfect Stranger
My Up And Down	Adina Howard
Stutter	Elastica
I Wanna Love Like That	Tony Thompson
Freak Me Baby	Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock
Big Yellow Taxi	Amy Grant
Take Your Time (Do It Right)	Max-A-Million
So In Love With You	U.N.V.
We Must Be In Love	Pure Soul
Hey Man Nice Shot	Filter
When You Say Nothing At All	Alison Krauss + Union Station
Heaven	Solo
Jeremy/Yellow Ledbetter	Pearl Jam
Survival Of The Fittest	Mobb Deep
Baby Baby	Corona
Shimmy Shimmy Ya	Ol' Dirty Bastard
Summertime In The LBC (From "The Show")	The Dove Shack
Warm Summer Daze	Vybe
Foe Life	Mack 10
Remember Me This Way (From "Casper")	Jordan Hill
On The Down Low	Brian McKnight
Listen Me Tic (Woyoi)	Ini Kamoze
Round & Round	Twinz
Breakfast At Tiffany's	Deep Blue Something
Missing	Everything But The Girl
Walking To Jerusalem	Tracy Byrd
Keeper Of The Flame	Martin Page
Froggy Style	Nuttin' Nyce
Tonight's The Night	BLACKstreet
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Not Enough	Van Halen
Tonight Is The Night	Le Click
Died In Your Arms	Intonation Featuring Joee
Leave Virginia Alone	Rod Stewart
