Groovin'	The Young Rascals
The Happening	The Supremes
Sweet Soul Music	Arthur Conley
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Respect	Aretha Franklin
I Got Rhythm	The Happenings
Release Me (And Let Me Love Again)	Engelbert Humperdinck
Close Your Eyes	Peaches & Herb
Don't You Care	The Buckinghams
You Got What It Takes	The Dave Clark Five
Girl, You'll Be A Woman Soon	Neil Diamond
On A Carousel	The Hollies
Creeque Alley	The Mamas & The Papas
Him Or Me - What's It Gonna Be?	Paul Revere & The Raiders
When I Was Young	Eric Burdon & The Animals
Friday On My Mind	The Easybeats
I Think We're Alone Now	Tommy James And The Shondells
Here Comes My Baby	The Tremeloes
Mirage	Tommy James And The Shondells
A Little Bit Me, A Little Bit You	The Monkees
All I Need	The Temptations
Somebody To Love	Jefferson Airplane
Sunshine Girl	The Parade
I'm A Man	The Spencer Davis Group
Yellow Balloon	The Yellow Balloon
I Was Kaiser Bill's Batman	Whistling Jack Smith
Too Many Fish In The Sea & Three Little Fishes	Mitch Ryder And The Detroit Wheels
Shake A Tail Feather	James & Bobby Purify
Dead End Street Monologue/Dead End Street	Lou Rawls
Casino Royale	Herb Alpert & The Tijuana Brass
Happy Jack	The Who
Six O'Clock	The Lovin' Spoonful
Happy Together	The Turtles
My Girl Josephine	Jerry Jaye
Making Memories	Frankie Laine
Jimmy Mack	Martha & The Vandellas
Portrait Of My Love	The Tokens
Hip Hug-Her	Booker T. & The MG's
When You're Young And In Love	The Marvelettes
Get Me To The World On Time	The Electric Prunes
Western Union	The Five Americans
This Is My Song	Petula Clark
Melancholy Music Man	The Righteous Brothers
Come On Down To My Boat	Every Mothers' Son
Buy For Me The Rain	The Nitty Gritty Dirt Band
Do It Again A Little Bit Slower	Jon & Robin And The In Crowd
Alfie	Dionne Warwick
Another Day, Another Heartache	The 5th Dimension
Can't Seem To Make You Mine	The Seeds
My Babe	Ronnie Dove
Little Games	The Yardbirds
Nothing Takes The Place Of You	Toussaint McCall
A Beautiful Story	Sonny & Cher
Tramp	Otis & Carla
Lay Some Happiness On Me	Dean Martin
The Oogum Boogum Song	Brenton Wood
I Could Be So Good To You	Don And The Goodtimes
She'd Rather Be With Me	The Turtles
Let Yourself Go	James Brown And The Famous Flames
Misty Blue	Eddy Arnold
Time, Time	Ed Ames
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
The Whole World Is A Stage	The Fantastic Four
Love Me Forever	Roger Williams
Girls In Love	Gary Lewis And The Playboys
Let's Live For Today	The Grass Roots
Together	The Intruders
Live	The Merry-Go-Round
Just Look What You've Done	Brenda Holloway
Out Of Left Field	Percy Sledge
It's All Over Now	Casinos
I'll Make Him Love Me	Barbara Lewis
Little Bit O' Soul	The Music Explosion
Can't Take My Eyes Off You	Frankie Valli
Jump Back	King Curtis
One Hurt Deserves Another	The Raelets/Ray Charles Orchestra
Funny Familiar Forgotten Feelings	Tom Jones
Shake	Otis Redding
Here We Go Again	Ray Charles
Am I Grooving You	Freddie Scott
Funky Broadway Part I	Dyke And The Blazers
I've Lost You	Jackie Wilson
Eight Men, Four Women	O.V. Wright
Ding Dong! The Witch Is Dead	The Fifth Estate
We Had A Good Thing Goin'	The Cyrkle
Long Legged Girl (With The Short Dress On)	Elvis Presley With The Jordanaires
7 Rooms Of Gloom	Four Tops
Sound Of Love	The Five Americans
Come To The Sunshine	Harpers Bizarre
Leopard-Skin Pill-Box Hat	Bob Dylan
Hey Love	Stevie Wonder
Beat The Clock	The McCoys
Stop! And Think It Over	Perry Como
Stay Together Young Lovers	Brenda & The Tabulations
She Shot A Hole In My Soul	Clifford Curry
Make Me Yours	Bettye Swann
Red Roses For Mom	Bobby Vinton
Sunday Will Never Be The Same	Spanky And Our Gang
Baby Please Come Back Home	J.J. Barnes
Soul Finger	Bar-Kays
